new entry "Target_Goodberry"
type "SpellData"
data "SpellType" "Target"
data "Level" "1"
data "SpellSchool" "Transmutation"
data "SpellProperties" "SummonInInventory(de6b186e-839e-41d0-87af-a1a9d9327785,-1,10,false,false,false,,,)"
data "TargetRadius" "1.5"
data "TargetConditions" "Player() and not Dead() and not Summon()"
data "Icon" "Spell_Transmutation_Goodberry"
data "DisplayName" "Target_Goodberry_DisplayName"
data "Description" "Conjure ten magical berries. Creatures who eat a berry regain [1]."
data "DescriptionParams" "RegainHitPoints(1)"
data "ExtraDescription" "Target_Goodberry_ExtraDescription"
data "PrepareEffect" "VFX_Spells_Prepare_Arcane_Intent_Healing_HandFX_01,KeepRot:Dummy_R_HandFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Healing_HandFX_01,KeepRot:Dummy_L_HandFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Healing_CastFX_01:Dummy_CastFX::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Healing_Root_Textkey_01,Detach:Dummy_Root:VFX_Prepare_01:0:None::None::0:0::::;VFX_Sound_Spell_Prepare_Intent_Heal_01:Dummy_Root::0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Healing_CastFX_GoodBerry_Textkey_01:Dummy_R_HandFX:VFX_Prepare_01:0:None::None::0:0::::;VFX_Spells_Prepare_Arcane_Intent_Healing_CastFX_GoodBerry_Textkey_01:Dummy_L_HandFX:VFX_Prepare_01:0:None::None::0:0::::;VFX_Sound_Spell_Prepare_Goodberry_01:::0:None::None::0:0::::"
data "CastEffect" "VFX_Spells_Cast_Intent_Healing_TargetSingle_HandFX_GoodBerry_Textkey_01:Dummy_R_HandFX:VFX_Somatic_01:0:None::None::0:0::::"
data "TargetEffect" "VFX_Spells_Cast_Intent_Healing_TargetSingle_OverheadFX_GoodBerry_Textkey_01,Detach:Dummy_OverheadFX:VFX_Somatic_01:0:None::None::0:0::::;VFX_Spells_Cast_Intent_Healing_TargetSingle_Impact_GoodBerry_BodyFX_Texkey_01,FaceSource:Dummy_BodyFX:VFX_Somatic_01:0:None::None::0:0::::"
data "CastSelfAnimation" "bcc3b0d9-f04f-4448-aab0-e0ad641167cc(SPL_Somatic_Self_01_Cast)"
data "CastTextEvent" "Cast"
data "CastSound" "Spell_Cast_Summon_Goodberry_L1to3"
data "CycleConditions" "Ally() and not Dead()"
data "UseCosts" "ActionPoint:1;SpellSlot:1:1:1"
data "SpellAnimationArcaneMagic" "7552fe7c-f098-42a5-a312-9e9cd1fd6f52(SPL_Druid_Summon_01_Prepare);;29cc8ef2-e45e-4513-8f98-085d0dad7bc1(SPL_Somatic_Target_Swipe_01_Cast);bb428832-db99-4236-8a81-a2737b81d0cc(SPL_Somatic_Target_Swipe_01_Recover);da2204ae-af10-408e-8102-9091e9312800(SPL_Druid_Summon_01_Loop);"
data "SpellAnimationDivineMagic" "7552fe7c-f098-42a5-a312-9e9cd1fd6f52(SPL_Druid_Summon_01_Prepare);;29cc8ef2-e45e-4513-8f98-085d0dad7bc1(SPL_Somatic_Target_Swipe_01_Cast);bb428832-db99-4236-8a81-a2737b81d0cc(SPL_Somatic_Target_Swipe_01_Recover);da2204ae-af10-408e-8102-9091e9312800(SPL_Druid_Summon_01_Loop);"
data "SpellAnimationNoneMagic" "7552fe7c-f098-42a5-a312-9e9cd1fd6f52(SPL_Druid_Summon_01_Prepare);;29cc8ef2-e45e-4513-8f98-085d0dad7bc1(SPL_Somatic_Target_Swipe_01_Cast);bb428832-db99-4236-8a81-a2737b81d0cc(SPL_Somatic_Target_Swipe_01_Recover);da2204ae-af10-408e-8102-9091e9312800(SPL_Druid_Summon_01_Loop);"
data "VerbalIntent" "Summon"
data "SpellFlags" "IsSpell;HasVerbalComponent;HasSomaticComponent;IsMelee"
data "RechargeValues" "4-6"
data "MemoryCost" "1"
